Date,Open,High,Low,Close,Adj Close,Volume
1966/3/2,2.744856,2.777778,2.633745,2.633745,0.766026,2387000
1966/3/3,2.633745,2.670782,2.604938,2.604938,0.757648,2277800
1966/3/4,2.604938,2.654321,2.58642,2.588477,0.75286,2308400
1966/3/7,2.541152,2.541152,2.452675,2.452675,0.713362,2861000
1966/3/8,2.452675,2.45679,2.325103,2.419753,0.703787,3213200
1966/3/9,2.419753,2.477366,2.40535,2.458848,0.715158,1725200
1966/3/10,2.458848,2.495885,2.388889,2.423868,0.704983,2041200
1966/3/11,2.423868,2.452675,2.349794,2.364197,0.687629,2046800
1966/3/14,2.364197,2.390946,2.271605,2.271605,0.660698,3183200
1966/3/15,2.271605,2.308642,2.230453,2.296296,0.667879,3389600
1966/3/16,2.306584,2.386831,2.306584,2.366255,0.688227,3122400
1966/3/17,2.366255,2.378601,2.294239,2.296296,0.667879,3334800
1966/3/18,2.304527,2.358025,2.304527,2.327161,0.676856,1719000
1966/3/21,2.345679,2.434156,2.345679,2.434156,0.707976,2411400
1966/3/22,2.454732,2.54321,2.454732,2.487654,0.723536,3474800
1966/3/23,2.487654,2.493827,2.444444,2.471193,0.718748,1621800
1966/3/24,2.471193,2.567901,2.452675,2.559671,0.744482,1676600
1966/3/25,2.559671,2.600823,2.54321,2.54321,0.739694,2241200
1966/3/28,2.559671,2.633745,2.559671,2.617284,0.761239,1925400
1966/3/29,2.617284,2.672839,2.567901,2.602881,0.757049,2034800
1966/3/30,2.565844,2.565844,2.473251,2.473251,0.719347,3796400
1966/3/31,2.473251,2.54321,2.469136,2.528807,0.735505,1773800
1966/4/1,2.528807,2.576132,2.493827,2.518518,0.732513,1646000
1966/4/4,2.555556,2.609054,2.555556,2.600823,0.756451,1390800
1966/4/5,2.625515,2.674897,2.625515,2.633745,0.766026,2205000
1966/4/6,2.633745,2.674897,2.604938,2.641975,0.76842,1560800
1966/4/7,2.646091,2.73251,2.646091,2.728395,0.793556,2605800
1966/4/11,2.777778,2.87037,2.777778,2.866255,0.833652,3116000
1966/4/12,2.866255,2.895062,2.757202,2.765432,0.804327,2083400
1966/4/13,2.798354,2.942387,2.798354,2.907408,0.845621,3766400
1966/4/14,2.95679,2.995885,2.95679,2.967078,0.862976,5655600
1966/4/15,2.967078,2.971193,2.893004,2.90535,0.845023,1986200
1966/4/18,2.90535,2.985597,2.901235,2.91358,0.847417,1719000
1966/4/19,2.91358,2.91358,2.790123,2.849794,0.828864,2624400
1966/4/20,2.81893,2.81893,2.728395,2.736625,0.795949,4118600
1966/4/21,2.711934,2.711934,2.555556,2.555556,0.743285,6670200
1966/4/22,2.555556,2.604938,2.469136,2.572016,0.748073,5388200
1966/4/25,2.576132,2.646091,2.576132,2.617284,0.761239,2958200
1966/4/26,2.633745,2.699589,2.633745,2.676955,0.778594,2265600
1966/4/27,2.676955,2.711934,2.625515,2.62963,0.76483,2059200
1966/4/28,2.625515,2.625515,2.541152,2.576132,0.751621,3772200
1966/4/29,2.576132,2.576132,2.514403,2.54321,0.742017,4003200
1966/5/2,2.54321,2.576132,2.45679,2.45679,0.716802,3341000
1966/5/3,2.45679,2.469136,2.411523,2.430041,0.708998,1980200
1966/5/4,2.430041,2.432099,2.372428,2.390946,0.697591,2557200
1966/5/5,2.390946,2.399177,2.292181,2.292181,0.668775,4319000
1966/5/6,2.292181,2.366255,2.279835,2.366255,0.690388,3189000
1966/5/9,2.366255,2.374485,2.288066,2.3107,0.674179,1330200
1966/5/10,2.3107,2.403292,2.306584,2.358025,0.687986,1233000
1966/5/11,2.358025,2.411523,2.347737,2.347737,0.684985,965600
1966/5/12,2.339506,2.339506,2.304527,2.31893,0.67658,1032600
1966/5/13,2.300411,2.300411,2.251029,2.263375,0.66037,1901000
1966/5/16,2.263375,2.265432,2.164609,2.164609,0.631554,2527200
1966/5/17,2.164609,2.164609,2.041152,2.04321,0.596135,3450600
1966/5/18,2.209877,2.209877,2.115226,2.1893,0.638758,4306800
1966/5/19,2.1893,2.205761,2.00823,2.041152,0.595534,4714200
1966/5/20,2.041152,2.139918,2.016461,2.139918,0.62435,2059200
1966/5/23,2.139918,2.1893,2.078189,2.127572,0.620749,2043800
1966/5/24,2.164609,2.222222,2.164609,2.18107,0.636357,1351200
1966/5/25,2.18107,2.218107,2.172839,2.205761,0.643562,1069200
1966/5/26,2.251029,2.300411,2.251029,2.259259,0.65917,1178400
1966/5/27,2.259259,2.36214,2.213992,2.358025,0.687986,1017000
1966/5/31,2.358025,2.37037,2.209877,2.234568,0.651966,1129800
1966/6/1,2.201646,2.201646,2.160494,2.185185,0.637558,1472600
1966/6/2,2.185185,2.238683,2.168724,2.172839,0.633955,1053200
1966/6/3,2.172839,2.185185,2.139918,2.168724,0.632755,607400
1966/6/6,2.168724,2.168724,2.119342,2.135803,0.62315,506600
1966/6/7,2.127572,2.127572,2.08642,2.098765,0.612344,810200
1966/6/8,2.098765,2.123457,2.082304,2.098765,0.612344,986600
1966/6/9,2.098765,2.18107,2.09465,2.172839,0.633955,1312200
1966/6/10,2.201646,2.283951,2.201646,2.279835,0.665174,3665600
1966/6/13,2.279835,2.308642,2.246914,2.255144,0.657969,2857800
1966/6/14,2.255144,2.337449,2.205761,2.337449,0.681983,1986200
1966/6/15,2.341564,2.403292,2.341564,2.36214,0.689187,2207600
1966/6/16,2.378601,2.510288,2.378601,2.510288,0.732411,2912400
1966/6/17,2.518518,2.580247,2.518518,2.563786,0.74802,3586800
1966/6/20,2.563786,2.576132,2.510288,2.522634,0.736013,1296200
1966/6/21,2.522634,2.584362,2.510288,2.55144,0.744417,1077600
1966/6/22,2.55144,2.613169,2.539095,2.54321,0.742017,1658000
1966/6/23,2.54321,2.563786,2.423868,2.452675,0.715602,2083400
1966/6/24,2.452675,2.592592,2.411523,2.452675,0.715602,2620800
1966/6/27,2.44856,2.44856,2.37037,2.37037,0.691588,1172000
1966/6/28,2.37037,2.432099,2.308642,2.399177,0.699993,1679400
1966/6/29,2.399177,2.411523,2.325103,2.329218,0.679582,1314800
1966/6/30,2.329218,2.382716,2.279835,2.366255,0.690388,1660800
1966/7/1,2.386831,2.432099,2.386831,2.415638,0.704796,834600
1966/7/5,2.415638,2.432099,2.395062,2.415638,0.704796,531000
1966/7/6,2.415638,2.465021,2.403292,2.452675,0.715602,458000
1966/7/7,2.452675,2.514403,2.403292,2.411523,0.703595,1083800
1966/7/8,2.378601,2.378601,2.304527,2.37037,0.691588,2499200
1966/7/11,2.37037,2.399177,2.36214,2.378601,0.693989,783200
1966/7/12,2.37037,2.37037,2.353909,2.36214,0.689187,409400
1966/7/13,2.337449,2.337449,2.296296,2.304527,0.672377,1169000
1966/7/14,2.304527,2.403292,2.296296,2.36214,0.689187,904800
1966/7/15,2.36214,2.390946,2.345679,2.345679,0.684384,831800
1966/7/18,2.345679,2.366255,2.312757,2.320988,0.67718,461600
1966/7/19,2.320988,2.333333,2.271605,2.312757,0.674779,1846800
1966/7/20,2.312757,2.329218,2.222222,2.226337,0.649565,5087000
1966/7/21,2.226337,2.251029,2.160494,2.193416,0.639959,1609400
1966/7/22,2.193416,2.255144,2.172839,2.1893,0.638758,1071800
1966/7/25,2.1893,2.205761,2.061728,2.065844,0.602738,2350800
1966/7/26,2.065844,2.119342,2.020576,2.045268,0.596735,3608400
1966/7/27,2.074074,2.119342,2.074074,2.098765,0.612344,1193400
1966/7/28,2.08642,2.08642,2.00823,2.024691,0.590731,2778600
1966/7/29,2.024691,2.024691,1.942387,1.987654,0.579925,1983000
1966/8/1,1.975309,1.975309,1.934156,1.934156,0.564317,1545600
1966/8/2,1.934156,1.995885,1.917696,1.946502,0.570835,1336400
1966/8/3,1.983539,2.053498,1.983539,2.028807,0.594972,1399800
